generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
109,350,1.8181818181818182e-05,2e-05,1.9913636363636367e-05,3.867377867526894e-07
110,360,1.8181818181818182e-05,2e-05,1.987727272727273e-05,4.5615623682752565e-07
111,330,1.8181818181818182e-05,2e-05,1.9863636363636363e-05,4.788933524024858e-07
112,353,1.8181818181818182e-05,2e-05,1.985e-05,5.002272210978441e-07
113,323,1.8181818181818182e-05,2e-05,1.9822727272727275e-05,5.393407362253228e-07
114,342,1.8181818181818182e-05,2e-05,1.976818181818182e-05,6.064222405917937e-07
115,339,1.8181818181818182e-05,2e-05,1.9818181818181817e-05,5.45454545454608e-07
116,350,1.8181818181818182e-05,2e-05,1.9831818181818185e-05,5.26782687642541e-07
117,332,1.8181818181818182e-05,2e-05,1.9804545454545455e-05,5.631779660885863e-07
118,343,1.8181818181818182e-05,2e-05,1.9845454545454546e-05,5.070576279049159e-07
119,339,1.8181818181818182e-05,2e-05,1.985909090909091e-05,4.861511855447435e-07
120,355,1.8181818181818182e-05,2e-05,1.9831818181818185e-05,5.26782687642541e-07
121,344,1.8181818181818182e-05,2e-05,1.985e-05,5.002272210978441e-07
122,350,1.8181818181818182e-05,2e-05,1.987727272727273e-05,4.5615623682752565e-07
123,336,1.8181818181818182e-05,2e-05,1.990909090909091e-05,3.9626354032202266e-07
124,353,1.8181818181818182e-05,2e-05,1.9936363636363636e-05,3.3414501726363635e-07
125,334,1.8181818181818182e-05,2e-05,1.9945454545454545e-05,3.101585838043084e-07
126,342,1.8181818181818182e-05,2e-05,1.9922727272727274e-05,3.6677621704310884e-07
127,342,1.8181818181818182e-05,2e-05,1.990909090909091e-05,3.9626354032202266e-07
128,333,1.8181818181818182e-05,2e-05,1.991818181818182e-05,3.769165898477532e-07
129,342,1.8181818181818182e-05,2e-05,1.9913636363636367e-05,3.867377867526894e-07
130,324,1.8181818181818182e-05,2e-05,1.99e-05,4.145095678247883e-07
131,345,1.8181818181818182e-05,2e-05,1.992727272727273e-05,3.562894171320553e-07
132,340,1.8181818181818182e-05,2e-05,1.9904545454545458e-05,4.0551467144883856e-07
133,345,1.8181818181818182e-05,2e-05,1.9895454545454548e-05,4.2326456568199883e-07
134,348,1.8181818181818182e-05,2e-05,1.9904545454545458e-05,4.0551467144883856e-07
135,320,1.8181818181818182e-05,2e-05,1.9922727272727274e-05,3.6677621704310884e-07
136,336,1.8181818181818182e-05,2e-05,1.99e-05,4.145095678247883e-07
137,357,1.8181818181818182e-05,2e-05,1.9836363636363636e-05,5.203304735002089e-07
138,326,1.8181818181818182e-05,2e-05,1.9822727272727275e-05,5.393407362253228e-07
139,336,1.8181818181818182e-05,2e-05,1.985e-05,5.002272210978441e-07
140,335,1.8181818181818182e-05,2e-05,1.984090909090909e-05,5.137570252480762e-07
141,347,1.8181818181818182e-05,2e-05,1.9895454545454548e-05,4.2326456568199883e-07
142,331,1.8181818181818182e-05,2e-05,1.9913636363636367e-05,3.867377867526894e-07
143,340,1.8181818181818182e-05,2e-05,1.991818181818182e-05,3.769165898477532e-07
