generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,358,6.284478579126768e-06,9.406308710717796e-06,7.513053742254548e-06,4.933329367359427e-07
1,359,6.357446248095025e-06,9.406308710717796e-06,7.528266415364525e-06,4.879448075070971e-07
2,351,6.357446248095025e-06,9.406308710717796e-06,7.534801007386657e-06,5.057473794159848e-07
3,351,6.335718836392054e-06,9.406308710717796e-06,7.5542642590335364e-06,4.882873533798871e-07
4,346,6.357446248095025e-06,9.406308710717796e-06,7.580862129547643e-06,4.880505868614792e-07
5,350,6.349672635126378e-06,9.406308710717796e-06,7.57910425933815e-06,4.863542731985686e-07
6,354,6.204276898356528e-06,9.233962099849985e-06,7.596811160577146e-06,4.7186490117889636e-07
7,361,6.456917192840802e-06,8.744548722450634e-06,7.5756107098994394e-06,4.5562515843176083e-07
8,369,6.576319967240925e-06,9.02313847109347e-06,7.599100347161824e-06,4.5336623623181036e-07
9,369,6.494327384489898e-06,8.721725710084813e-06,7.616970044867064e-06,4.5391266416723993e-07
10,361,6.494327384489898e-06,8.84715644115466e-06,7.626742789812182e-06,4.546209860099992e-07
11,363,6.494327384489898e-06,8.891014155673395e-06,7.653405278129969e-06,4.707962643327138e-07
12,349,6.494327384489898e-06,9.214198045322356e-06,7.680797952074558e-06,4.6658529863541213e-07
13,340,6.476701245358996e-06,9.214198045322356e-06,7.682040482607918e-06,4.729220624952216e-07
14,350,6.587847647506889e-06,9.214198045322356e-06,7.647790561437772e-06,4.56002755450546e-07
15,348,6.6401149508378956e-06,9.214198045322356e-06,7.666661672048238e-06,4.3821787886003903e-07
16,357,6.56697221579368e-06,9.464905589782177e-06,7.650963609597685e-06,4.286508842659959e-07
17,351,6.56697221579368e-06,9.464905589782177e-06,7.638651373970202e-06,4.3128541160624517e-07
18,360,6.528081107043174e-06,9.464905589782177e-06,7.640095281691626e-06,4.5157222316123005e-07
19,351,6.412076711708861e-06,9.464905589782177e-06,7.653912347036364e-06,4.597000456209985e-07
20,345,6.528081107043174e-06,9.3175214464439e-06,7.648087462353934e-06,4.4600564238725163e-07
21,355,6.528081107043174e-06,9.3175214464439e-06,7.682186231487798e-06,4.3077640075483877e-07
22,362,6.389767184711405e-06,9.3175214464439e-06,7.691573394128695e-06,4.599807778250573e-07
23,365,6.528081107043174e-06,9.3175214464439e-06,7.695875361330723e-06,4.666942067553291e-07
24,351,6.389748876550421e-06,9.3175214464439e-06,7.7157934183109e-06,4.81262098921917e-07
25,359,6.51222616940965e-06,9.043828078117102e-06,7.653332811371328e-06,4.759919556166931e-07
26,365,6.51222616940965e-06,8.919796866124124e-06,7.699466092007917e-06,4.7336932839741887e-07
27,360,6.51222616940965e-06,8.919796866124124e-06,7.699901541160803e-06,4.940822335431108e-07
28,351,6.412725207321145e-06,9.003926414190744e-06,7.717900509270953e-06,4.863515394643394e-07
29,352,6.412725207321145e-06,9.021226971898977e-06,7.685108095892282e-06,4.866018680271001e-07
30,351,6.304382881410038e-06,9.021226971898977e-06,7.709669814951736e-06,4.835774035565878e-07
31,356,6.689585174042357e-06,9.021226971898977e-06,7.70953143539567e-06,4.5929609701749226e-07
32,361,6.695877619695761e-06,9.021226971898977e-06,7.722673358862324e-06,4.6792340519529444e-07
33,360,6.392539816439227e-06,9.247633011250386e-06,7.739726895110931e-06,4.4279798702458103e-07
34,362,6.6620386961729265e-06,9.247633011250386e-06,7.75540121484441e-06,4.649462183159256e-07
35,361,6.7850641928839544e-06,9.248034996112169e-06,7.766789433112887e-06,4.6702939440367657e-07
36,366,6.756013448149428e-06,9.248034996112169e-06,7.784492592443218e-06,4.795191046450787e-07
37,361,6.901319263254338e-06,9.185385267942951e-06,7.833406109023594e-06,4.822817583216685e-07
38,349,6.561030249002305e-06,9.192085013956152e-06,7.818840531758919e-06,4.810969677212897e-07
39,351,6.734993682785198e-06,9.711639412498097e-06,7.822764103525147e-06,4.908762852019574e-07
40,365,6.785225261713483e-06,9.711639412498097e-06,7.854296853432633e-06,5.041555314905423e-07
41,369,6.759978329049916e-06,9.185385267942951e-06,7.83379872402833e-06,4.773162739975207e-07
42,348,6.697071760888546e-06,9.185385267942951e-06,7.8461113863621e-06,4.879204486078001e-07
43,340,6.697071760888546e-06,9.155686564864397e-06,7.853377305240043e-06,4.9374136714474e-07
44,353,6.612634775988851e-06,9.550116080687705e-06,7.839644931852703e-06,5.321192336789779e-07
45,373,6.612634775988851e-06,9.202470475426756e-06,7.836667373412085e-06,4.984366586322586e-07
46,346,6.785225261713483e-06,9.202470475426756e-06,7.836851125285616e-06,5.024759182256077e-07
47,350,6.785225261713483e-06,9.565432490178047e-06,7.823542628588922e-06,5.23157389009745e-07
48,358,6.740447526784794e-06,9.461831461493133e-06,7.811256061037352e-06,4.898882832954578e-07
49,352,6.697128419575504e-06,9.461831461493133e-06,7.844192867307994e-06,4.844339764995869e-07
50,353,6.7305494068416425e-06,9.461831461493133e-06,7.851911069190224e-06,4.952057316776979e-07
51,353,6.82374888150341e-06,9.461831461493133e-06,7.872635369700387e-06,4.935419917629705e-07
52,346,6.765937076407832e-06,9.461831461493133e-06,7.918263328411462e-06,4.898464541073098e-07
53,354,6.828819149254568e-06,9.461831461493133e-06,7.899458081267378e-06,4.922753177175708e-07
54,362,6.781671474489635e-06,9.461831461493133e-06,7.883623532026283e-06,4.6991181972478474e-07
55,354,6.781671474489635e-06,9.461831461493133e-06,7.928240316984051e-06,4.860909455856011e-07
56,368,6.754914064423941e-06,9.461831461493133e-06,8.00301517964158e-06,5.210269396244088e-07
57,370,6.754914064423941e-06,9.461831461493133e-06,7.970218268577488e-06,5.216960306908746e-07
58,365,6.754914064423941e-06,9.547065300857825e-06,8.018089470695877e-06,5.112291782989971e-07
59,375,6.838883402649061e-06,9.687939899270808e-06,8.021613383037814e-06,5.042019474325094e-07
60,357,6.838883402649061e-06,9.461831461493133e-06,8.047097715024534e-06,5.099230964636842e-07
61,360,6.748364711386913e-06,9.461831461493133e-06,8.022456690153412e-06,5.117241427460177e-07
62,371,6.5328871310961626e-06,9.461831461493133e-06,8.064814925796692e-06,4.976078668796814e-07
63,350,6.599490846192492e-06,9.461831461493133e-06,8.038158768376121e-06,5.101511528633993e-07
64,359,6.74601437699316e-06,9.461831461493133e-06,8.003117838495402e-06,5.272388377617674e-07
65,358,6.74601437699316e-06,9.261398190844895e-06,7.990054569913062e-06,5.209853652836303e-07
66,353,6.668640003188859e-06,9.261398190844895e-06,8.024590976735632e-06,5.211147370004541e-07
67,338,6.668640003188859e-06,9.400793881078716e-06,8.000809520776606e-06,5.480356517839803e-07
68,350,6.551191310448743e-06,9.473272742069844e-06,8.035700417816779e-06,5.636072933655333e-07
69,352,6.621376566649499e-06,9.473272742069844e-06,8.030071061379518e-06,5.473980111890452e-07
70,361,6.621376566649499e-06,9.727621261128146e-06,8.034390226909945e-06,5.465586589759826e-07
71,348,6.39460183339972e-06,9.727621261128146e-06,8.081781055636017e-06,5.67228058708451e-07
72,354,6.773649603469262e-06,9.727621261128146e-06,8.103385945167911e-06,5.591340295715077e-07
73,351,6.605207523490133e-06,9.727621261128146e-06,8.07902688359231e-06,5.402494418323292e-07
74,352,6.605207523490133e-06,9.727621261128146e-06,8.061686414922062e-06,5.609275028625273e-07
