generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,349,1.5151614276358618e-05,1.976571983309024e-05,1.7057510846570726e-05,7.988135685507501e-07
1,343,1.5151614276358618e-05,1.976571983309024e-05,1.7088839502159978e-05,8.328059671070164e-07
2,332,1.5151614276358618e-05,1.976571983309024e-05,1.706819456883954e-05,8.020519238131155e-07
3,311,1.5237181515895959e-05,1.976571983309024e-05,1.7049222875903746e-05,7.43500868055322e-07
4,341,1.5237181515895959e-05,1.976571983309024e-05,1.7097945961217235e-05,7.715025561810144e-07
5,343,1.5237181515895959e-05,1.976571983309024e-05,1.7172156640561335e-05,8.203506822973035e-07
6,339,1.5237181515895959e-05,1.976571983309024e-05,1.7218709363535102e-05,8.216765951046335e-07
7,345,1.5237181515895959e-05,1.976571983309024e-05,1.719670656212344e-05,7.920803087709398e-07
8,361,1.5237181515895959e-05,1.976571983309024e-05,1.7203436691559972e-05,8.598745363523457e-07
9,337,1.5237181515895959e-05,1.976571983309024e-05,1.723866304191306e-05,8.350927971075948e-07
10,350,1.5237181515895959e-05,1.976571983309024e-05,1.732471796782979e-05,8.767999693829348e-07
11,342,1.5237181515895959e-05,1.976571983309024e-05,1.7356247715382716e-05,8.57248272211052e-07
12,357,1.5237181515895959e-05,1.976571983309024e-05,1.7422554540388954e-05,8.188774097376054e-07
13,357,1.5237181515895959e-05,1.976571983309024e-05,1.7425182873707348e-05,8.805469265946944e-07
14,341,1.5237181515895959e-05,1.976571983309024e-05,1.74761059105526e-05,8.925804787659321e-07
15,342,1.5237181515895959e-05,1.976571983309024e-05,1.7508176164098695e-05,9.446466560084364e-07
16,352,1.5237181515895959e-05,1.976571983309024e-05,1.7552427265057265e-05,9.616534678474009e-07
17,318,1.5237181515895959e-05,1.976571983309024e-05,1.7498983799592695e-05,9.448617576105591e-07
18,340,1.5237181515895959e-05,1.976571983309024e-05,1.757602626226437e-05,9.537397447360505e-07
19,329,1.5237181515895959e-05,1.976571983309024e-05,1.7587789424722114e-05,9.757991767805703e-07
20,349,1.5237181515895959e-05,1.976571983309024e-05,1.7612066205571607e-05,9.879679148333303e-07
21,330,1.54622651098071e-05,1.976571983309024e-05,1.767267418456281e-05,9.76149076602598e-07
22,318,1.6052943544794052e-05,1.9874490376453568e-05,1.7729499963094246e-05,1.0127265675715473e-06
23,355,1.6052943544794052e-05,1.9874490376453568e-05,1.775893260418693e-05,1.014355555942999e-06
24,335,1.6052943544794052e-05,1.9874490376453568e-05,1.778565017703011e-05,9.973699663537922e-07
25,350,1.5979277471427217e-05,1.9874490376453568e-05,1.7766772765765463e-05,1.0167623731134822e-06
26,354,1.6052943544794052e-05,1.9874490376453568e-05,1.7799941433458846e-05,1.0295920111231166e-06
27,344,1.6052943544794052e-05,1.9874490376453568e-05,1.784207070842636e-05,1.0593847693735675e-06
28,332,1.6052943544794052e-05,2.0100367938235232e-05,1.7930270441765332e-05,1.0731676455152154e-06
29,341,1.5587938058785026e-05,2.0355349714604752e-05,1.796751902242279e-05,1.0510381719469757e-06
30,330,1.5587938058785026e-05,2.0355349714604752e-05,1.8062328503846478e-05,1.082046531642033e-06
31,336,1.5587938058785026e-05,2.0355349714604752e-05,1.8065713179987794e-05,1.1355925925210633e-06
32,346,1.5587938058785026e-05,2.0355349714604752e-05,1.7980266977545422e-05,1.1387020095198097e-06
33,323,1.5587938058785026e-05,2.0355349714604752e-05,1.8042585109261878e-05,1.150728670359218e-06
34,349,1.6052943544794052e-05,2.0355349714604752e-05,1.8066401387203337e-05,1.0977446226058746e-06
35,329,1.6052943544794052e-05,2.0355349714604752e-05,1.80974481773095e-05,1.0915945982912194e-06
36,344,1.6052943544794052e-05,2.0355349714604752e-05,1.8214431397520447e-05,1.094926116991944e-06
37,331,1.6052943544794052e-05,2.0355349714604752e-05,1.827303989904181e-05,1.139248585328126e-06
38,345,1.5615804480520956e-05,2.0355349714604752e-05,1.8461392655992226e-05,1.1384162966310965e-06
39,344,1.6052943544794052e-05,2.074548543992547e-05,1.8556864114839646e-05,1.115354376388486e-06
40,352,1.6052943544794052e-05,2.0355349714604752e-05,1.8611531380531897e-05,1.0669652955300219e-06
41,344,1.6052943544794052e-05,2.0355349714604752e-05,1.8726906852930063e-05,9.91745868699563e-07
42,333,1.6052943544794052e-05,2.0355349714604752e-05,1.8776548758713232e-05,9.822152352658186e-07
43,352,1.6052943544794052e-05,2.0355349714604752e-05,1.882292404341714e-05,9.196166623591929e-07
44,336,1.6052943544794052e-05,2.0355349714604752e-05,1.8867293913261317e-05,8.89809502940004e-07
45,337,1.6052943544794052e-05,2.0355349714604752e-05,1.8852972918049573e-05,9.079594910916326e-07
46,336,1.6110700892166855e-05,2.0355349714604752e-05,1.8847762864541063e-05,9.119767300412568e-07
47,365,1.6365583835403793e-05,2.0355349714604752e-05,1.8833617468139157e-05,9.222975313894977e-07
48,325,1.5987079694217437e-05,2.0355349714604752e-05,1.8873003114750503e-05,9.269462372511123e-07
