generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,349,5.382182354306786e-06,7.64115860772763e-06,6.2934581486702565e-06,3.690211635605722e-07
1,343,5.382182354306786e-06,7.64115860772763e-06,6.313295646739677e-06,3.8821445372302e-07
2,332,5.382182354306786e-06,7.64115860772763e-06,6.3135384310659245e-06,3.766556488459289e-07
3,311,5.4608685181381765e-06,7.64115860772763e-06,6.308895466762836e-06,3.513227650625123e-07
4,341,5.4608685181381765e-06,7.64115860772763e-06,6.332210308719561e-06,3.687051072698393e-07
5,343,5.4608685181381765e-06,7.64115860772763e-06,6.3736405495458965e-06,3.9451503187908456e-07
6,339,5.486642674501146e-06,7.64115860772763e-06,6.4036720137839665e-06,3.963408462495158e-07
7,345,5.486642674501146e-06,7.64115860772763e-06,6.402205133710441e-06,3.8353392455303256e-07
8,361,5.486642674501146e-06,7.64115860772763e-06,6.413071774791351e-06,4.161574736101153e-07
9,337,5.486642674501146e-06,7.64115860772763e-06,6.436119474426201e-06,4.1123028119201646e-07
10,350,5.486642674501146e-06,7.64115860772763e-06,6.481464875759657e-06,4.338311107371742e-07
11,342,5.486642674501146e-06,7.64115860772763e-06,6.50610438178512e-06,4.223702339701794e-07
12,357,5.486642674501146e-06,7.64115860772763e-06,6.5442769771174055e-06,4.1102903767833315e-07
13,357,5.486642674501146e-06,7.64115860772763e-06,6.555154588559384e-06,4.372541516322941e-07
14,341,5.486642674501146e-06,7.64115860772763e-06,6.5887849116010575e-06,4.4279844310317934e-07
15,342,5.486642674501146e-06,7.809301407804894e-06,6.612065855353909e-06,4.674544879609126e-07
16,352,5.486642674501146e-06,7.809301407804894e-06,6.641535957717574e-06,4.7192399746841457e-07
17,318,5.486642674501146e-06,7.809301407804894e-06,6.616413630370978e-06,4.587211272290021e-07
18,340,5.486642674501146e-06,7.64115860772763e-06,6.661608017463567e-06,4.599472047288738e-07
19,329,5.486642674501146e-06,7.64115860772763e-06,6.666578999197699e-06,4.710160632028239e-07
20,349,5.486642674501146e-06,7.64115860772763e-06,6.68365088579814e-06,4.728161370249447e-07
21,330,5.865300174810487e-06,7.64115860772763e-06,6.713272813163248e-06,4.6230292122008606e-07
22,318,5.9219388633359215e-06,7.64115860772763e-06,6.74388225042404e-06,4.777820667383465e-07
23,355,5.875006092063043e-06,7.641729308035692e-06,6.766636902635448e-06,4.78421275764947e-07
24,335,5.875006092063043e-06,7.641729308035692e-06,6.782322616163836e-06,4.647854365992198e-07
25,350,5.875006092063043e-06,7.641729308035692e-06,6.7737113715580515e-06,4.7117107750376447e-07
26,354,5.839185502332967e-06,7.641729308035692e-06,6.791145022461105e-06,4.727429319795834e-07
27,344,5.839185502332967e-06,7.641729308035692e-06,6.814411766265681e-06,4.857622728419353e-07
28,332,5.839185502332967e-06,7.641729308035692e-06,6.856519895086767e-06,4.85754002336614e-07
29,341,5.839185502332967e-06,7.641729308035692e-06,6.8844901174166355e-06,4.687106241138008e-07
30,330,5.839185502332967e-06,7.641729308035692e-06,6.9287245289757475e-06,4.745312335791495e-07
31,336,5.839185502332967e-06,7.641729308035692e-06,6.933386693003106e-06,4.974752884304053e-07
32,346,5.839185502332967e-06,7.641729308035692e-06,6.900612961649314e-06,4.912111069625162e-07
33,323,5.839185502332967e-06,7.641729308035692e-06,6.924064066867858e-06,4.991232447789424e-07
34,349,5.9219388633359215e-06,7.641729308035692e-06,6.9352428256151474e-06,4.724574941706047e-07
35,329,5.9219388633359215e-06,7.641729308035692e-06,6.942582767474243e-06,4.6491380303621704e-07
36,344,5.9219388633359215e-06,7.641729308035692e-06,6.9902899174099965e-06,4.6026538682812487e-07
37,331,5.703148350688952e-06,7.641729308035692e-06,7.009872623721551e-06,4.841663640139682e-07
