generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,349,2.5864576351928722e-05,3.209243782167233e-05,2.9049145250264584e-05,1.1062170200739928e-06
1,343,2.5864576351928722e-05,3.209243782167233e-05,2.9086810792229985e-05,1.164359893956509e-06
2,332,2.5864576351928722e-05,3.209243782167233e-05,2.9058339775070034e-05,1.1202056572688542e-06
3,311,2.6034738555642433e-05,3.209243782167233e-05,2.9027941349324664e-05,1.0415172774380655e-06
4,341,2.6034738555642433e-05,3.209243782167233e-05,2.9080543609538707e-05,1.0769503921424238e-06
5,343,2.6138773840491316e-05,3.209243782167233e-05,2.9163567148381412e-05,1.1384035015497067e-06
6,339,2.6138773840491316e-05,3.209243782167233e-05,2.9222976653062127e-05,1.1428700041405403e-06
7,345,2.6138773840491316e-05,3.209243782167233e-05,2.919854876786111e-05,1.0954344176644128e-06
8,361,2.6138773840491316e-05,3.209243782167233e-05,2.9180155192293764e-05,1.1929150437063258e-06
9,337,2.6138773840491316e-05,3.209243782167233e-05,2.920564992067262e-05,1.150281250918366e-06
10,350,2.599702464112105e-05,3.209243782167233e-05,2.931007718330071e-05,1.1856653493958527e-06
11,342,2.599702464112105e-05,3.209243782167233e-05,2.9356639109388867e-05,1.1628730548030935e-06
12,357,2.599702464112105e-05,3.209243782167233e-05,2.9450195396654197e-05,1.1179928751456001e-06
13,357,2.599702464112105e-05,3.209243782167233e-05,2.943346264771475e-05,1.1794749597355996e-06
14,341,2.599702464112105e-05,3.234056605690799e-05,2.9510176367799966e-05,1.204179953567111e-06
15,342,2.599702464112105e-05,3.234056605690799e-05,2.9533310735968057e-05,1.274828611265662e-06
16,352,2.599702464112105e-05,3.234056605690799e-05,2.958370659067985e-05,1.2776398122535342e-06
17,318,2.599702464112105e-05,3.234056605690799e-05,2.950813202574476e-05,1.242525219859478e-06
18,340,2.599702464112105e-05,3.234056605690799e-05,2.9599355859352476e-05,1.2592501483184223e-06
19,329,2.599702464112105e-05,3.234056605690799e-05,2.9604920672846036e-05,1.2967823782132023e-06
20,349,2.599702464112105e-05,3.234056605690799e-05,2.9622761495975918e-05,1.3078733402984454e-06
21,330,2.6138773840491316e-05,3.234056605690799e-05,2.9685690377024948e-05,1.2781214910267332e-06
22,318,2.745513815386748e-05,3.2511533820002336e-05,2.97514237998835e-05,1.322390086287266e-06
23,355,2.745513815386748e-05,3.2526057136171825e-05,2.979852503196109e-05,1.3367329618487298e-06
24,335,2.745513815386748e-05,3.285272678239259e-05,2.9815560172750066e-05,1.3032045793263195e-06
25,350,2.745513815386748e-05,3.285272678239259e-05,2.9778184944200737e-05,1.3291624013894621e-06
26,354,2.745513815386748e-05,3.285272678239259e-05,2.9805514896455564e-05,1.3348847856681812e-06
27,344,2.745513815386748e-05,3.285272678239259e-05,2.9868007635068517e-05,1.3779225137643107e-06
