generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,349,2.669245720245076e-05,3.43083111093819e-05,2.9972403840704265e-05,1.3126221491765711e-06
1,343,2.6577748376578874e-05,3.43083111093819e-05,3.001514714749197e-05,1.3665501019502267e-06
2,332,2.6577748376578874e-05,3.43083111093819e-05,2.9993962847807996e-05,1.322427583694532e-06
3,311,2.669245720245076e-05,3.43083111093819e-05,2.9971020583452177e-05,1.2401312024403137e-06
4,341,2.669245720245076e-05,3.43083111093819e-05,3.0030910119440368e-05,1.284437995091874e-06
5,343,2.6725774133627738e-05,3.43083111093819e-05,3.0142755117140454e-05,1.3446907729199347e-06
6,339,2.6725774133627738e-05,3.43083111093819e-05,3.0226384335657624e-05,1.340787805409054e-06
7,345,2.6725774133627738e-05,3.43083111093819e-05,3.020409152587628e-05,1.2764994563455025e-06
8,361,2.6725774133627738e-05,3.43083111093819e-05,3.0202317323197148e-05,1.3936451000940323e-06
9,337,2.6725774133627738e-05,3.43083111093819e-05,3.0238822410212594e-05,1.3430348914726418e-06
10,350,2.657044233255475e-05,3.43083111093819e-05,3.0368661234082826e-05,1.4060023049396586e-06
11,342,2.657044233255475e-05,3.43083111093819e-05,3.0433616719936734e-05,1.366127061766042e-06
12,357,2.657044233255475e-05,3.43083111093819e-05,3.0545008839344505e-05,1.2952304349931177e-06
13,357,2.657044233255475e-05,3.43083111093819e-05,3.054525154496636e-05,1.3877750753699535e-06
14,341,2.657044233255475e-05,3.445952421000578e-05,3.0639411507099097e-05,1.408511047885698e-06
15,342,2.657044233255475e-05,3.445952421000578e-05,3.068100499515284e-05,1.522649016714833e-06
16,352,2.657044233255475e-05,3.445952421000578e-05,3.076156510920574e-05,1.5421986874189042e-06
17,318,2.657044233255475e-05,3.445952421000578e-05,3.066998101827837e-05,1.506415120704554e-06
18,340,2.657044233255475e-05,3.445952421000578e-05,3.0783103209655754e-05,1.5173176613165958e-06
19,329,2.657044233255475e-05,3.460440942860877e-05,3.079796192865058e-05,1.5575063176865186e-06
20,349,2.657044233255475e-05,3.460440942860877e-05,3.0844653401833295e-05,1.570792343260791e-06
21,330,2.8156834586096046e-05,3.460440942860877e-05,3.0929425061286165e-05,1.5385281578638823e-06
22,318,2.8156834586096046e-05,3.460440942860877e-05,3.1010084326662545e-05,1.6070958594680411e-06
23,355,2.8156834586096046e-05,3.460440942860877e-05,3.106250070638684e-05,1.6124392470535113e-06
24,335,2.8156834586096046e-05,3.460440942860877e-05,3.109904674837832e-05,1.574357643238006e-06
25,350,2.8156834586096046e-05,3.460440942860877e-05,3.105897423043747e-05,1.594733047178875e-06
26,354,2.8156834586096046e-05,3.460440942860877e-05,3.110492190600996e-05,1.6078349288289595e-06
27,344,2.8156834586096046e-05,3.460440942860877e-05,3.118277429050109e-05,1.6428637316154002e-06
28,332,2.8156834586096046e-05,3.460440942860877e-05,3.133228046604857e-05,1.6683814676068762e-06
29,341,2.8156834586096046e-05,3.460440942860877e-05,3.139112679039032e-05,1.6120680257187322e-06
30,330,2.8156834586096046e-05,3.460440942860877e-05,3.154330836154095e-05,1.6593466791988899e-06
31,336,2.8156834586096046e-05,3.460440942860877e-05,3.1554387160716094e-05,1.744117890386589e-06
32,346,2.8156834586096046e-05,3.460440942860877e-05,3.1447087015587965e-05,1.7344371683953065e-06
33,323,2.8156834586096046e-05,3.460440942860877e-05,3.15391440742393e-05,1.753114697774201e-06
34,349,2.8156834586096046e-05,3.460440942860877e-05,3.155445501665071e-05,1.6558406893574456e-06
35,329,2.8156834586096046e-05,3.460440942860877e-05,3.1572612490051036e-05,1.630353938570764e-06
36,344,2.8461938812174492e-05,3.460440942860877e-05,3.173370812475369e-05,1.6398738061248048e-06
37,331,2.8461938812174492e-05,3.460440942860877e-05,3.1835063017763014e-05,1.7051923120169803e-06
38,345,2.8461938812174492e-05,3.460440942860877e-05,3.211097096503077e-05,1.7069958215145504e-06
39,344,2.8461938812174492e-05,3.460440942860877e-05,3.223142124383959e-05,1.6779742030875063e-06
40,352,2.8461938812174492e-05,3.460440942860877e-05,3.230387486938357e-05,1.6171374723032642e-06
41,344,2.8461938812174492e-05,3.460440942860877e-05,3.246201113129021e-05,1.5150149178101128e-06
42,333,2.8461938812174492e-05,3.460440942860877e-05,3.253208603974045e-05,1.5096753027597846e-06
43,352,2.8784128611830378e-05,3.460440942860877e-05,3.259000370576377e-05,1.428914650620527e-06
44,336,2.8784128611830378e-05,3.460440942860877e-05,3.265920828338086e-05,1.3827943059846778e-06
45,337,2.8784128611830378e-05,3.460440942860877e-05,3.262779736454049e-05,1.3991451858288137e-06
46,336,2.8784128611830378e-05,3.4849036890675896e-05,3.26591876815027e-05,1.4211188483802075e-06
47,365,2.8784128611830378e-05,3.460440942860877e-05,3.2642350437467405e-05,1.4377958713149508e-06
48,325,2.8784128611830378e-05,3.460440942860877e-05,3.2696813331087165e-05,1.4471539279079176e-06
49,330,2.870103271766356e-05,3.499063567147363e-05,3.266370133305076e-05,1.5178930050918248e-06
50,347,2.8784128611830378e-05,3.499063567147363e-05,3.280163265289293e-05,1.4041366200562602e-06
51,339,2.8784128611830378e-05,3.499063567147363e-05,3.2864408363826846e-05,1.3539782931243813e-06
52,339,2.8784128611830378e-05,3.499063567147363e-05,3.280899858339307e-05,1.421976194957888e-06
53,347,2.8784128611830378e-05,3.499063567147363e-05,3.2774759176675993e-05,1.4149113605597909e-06
54,340,2.8784128611830378e-05,3.499063567147363e-05,3.278888707335023e-05,1.358013930159734e-06
55,352,2.8784128611830378e-05,3.499063567147363e-05,3.286906086007469e-05,1.3580345989039306e-06
56,337,2.8784128611830378e-05,3.499063567147363e-05,3.2940357485723945e-05,1.3658755352758647e-06
57,336,2.8784128611830378e-05,3.499063567147363e-05,3.299328512233164e-05,1.366834176622735e-06
58,350,2.888475715568028e-05,3.499063567147363e-05,3.312402090857017e-05,1.2732140393807067e-06
59,325,2.9723788315367814e-05,3.499063567147363e-05,3.315089505686165e-05,1.197044270937932e-06
60,359,2.9723788315367814e-05,3.499063567147363e-05,3.332245858182004e-05,1.1039314438097105e-06
61,347,3.020947562864376e-05,3.499063567147363e-05,3.339200348505954e-05,1.0848032288091225e-06
62,335,3.0662726857600474e-05,3.499063567147363e-05,3.340724925460623e-05,1.0700588666796298e-06
63,346,3.0662726857600474e-05,3.499063567147363e-05,3.341777830838761e-05,1.0349213691355576e-06
64,348,3.0662726857600474e-05,3.499063567147363e-05,3.3428892510439516e-05,1.0217801772529625e-06
65,340,3.0662726857600474e-05,3.499063567147363e-05,3.343722985765836e-05,9.987028211750212e-07
66,338,3.0662726857600474e-05,3.499063567147363e-05,3.335703077511356e-05,9.633654265207354e-07
67,344,3.0662726857600474e-05,3.51891381821771e-05,3.332305508470818e-05,9.954005740545714e-07
68,335,3.0662726857600474e-05,3.51891381821771e-05,3.338806504938036e-05,9.98217607615898e-07
69,326,3.1073868534409634e-05,3.51891381821771e-05,3.343787621755801e-05,9.523957246462567e-07
70,327,3.1073868534409634e-05,3.51891381821771e-05,3.3363016826504524e-05,9.644649292305488e-07
71,342,3.1073868534409634e-05,3.51891381821771e-05,3.3311446737915934e-05,1.0063272381512211e-06
72,356,3.1073868534409634e-05,3.51891381821771e-05,3.328566080253354e-05,1.0030936754271225e-06
