generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,349,1.2795794678211802e-05,1.939079218620806e-05,1.5681644487244698e-05,1.2695971316316796e-06
1,343,1.2970300103208905e-05,1.939079218620806e-05,1.5782770235606675e-05,1.3309488216389627e-06
2,332,1.2970300103208905e-05,1.939079218620806e-05,1.580913937142967e-05,1.2927546575054511e-06
3,311,1.2970300103208905e-05,1.939079218620806e-05,1.582672343853765e-05,1.224765929263532e-06
4,341,1.2970300103208905e-05,1.939079218620806e-05,1.593593714425658e-05,1.2926392975279152e-06
5,343,1.2970300103208905e-05,1.939079218620806e-05,1.6107935404867726e-05,1.3782199186910656e-06
6,339,1.3277268568033107e-05,1.939079218620806e-05,1.6244589826698566e-05,1.3849058461722764e-06
7,345,1.3277268568033107e-05,1.939079218620806e-05,1.627211033977704e-05,1.360619241515087e-06
8,361,1.3277268568033107e-05,1.939079218620806e-05,1.6335163291433914e-05,1.4791849556808342e-06
9,337,1.3277268568033107e-05,1.939079218620806e-05,1.6438240180092917e-05,1.455977131420955e-06
10,350,1.3277268568033107e-05,1.939079218620806e-05,1.662585163716223e-05,1.5054967419533866e-06
11,342,1.3277268568033107e-05,1.939079218620806e-05,1.6736165232588686e-05,1.4618196170938939e-06
12,357,1.3277268568033107e-05,1.939079218620806e-05,1.692010085137562e-05,1.4372001268189678e-06
13,357,1.4020806707551958e-05,1.939079218620806e-05,1.697330107097524e-05,1.501227963610343e-06
14,341,1.4020806707551958e-05,1.939079218620806e-05,1.7125949964174408e-05,1.4851430571934477e-06
15,342,1.4020806707551958e-05,1.939079218620806e-05,1.721334539893037e-05,1.496693054344276e-06
16,352,1.3915757731141056e-05,1.939079218620806e-05,1.7303818466224835e-05,1.4608919978467409e-06
17,318,1.4020806707551958e-05,1.939079218620806e-05,1.7259238863866534e-05,1.4663149308581426e-06
18,340,1.4020806707551958e-05,1.939079218620806e-05,1.7436896853562678e-05,1.4615848609585942e-06
19,329,1.4020806707551958e-05,1.939079218620806e-05,1.746435353310451e-05,1.471390566065077e-06
20,349,1.4020806707551958e-05,1.95752861414513e-05,1.7516368525778195e-05,1.4500205408881255e-06
21,330,1.4429737431447722e-05,1.95752861414513e-05,1.760794075466892e-05,1.40632074174269e-06
22,318,1.4535762138054697e-05,1.95752861414513e-05,1.7677084720595638e-05,1.3909161423937015e-06
23,355,1.4535762138054697e-05,1.9991472627880472e-05,1.777340572016765e-05,1.3829635790094297e-06
24,335,1.4535762138054697e-05,1.9991472627880472e-05,1.7860711627378347e-05,1.3181395877432113e-06
25,350,1.4535762138054697e-05,1.9991472627880472e-05,1.780928650773953e-05,1.310532412218007e-06
26,354,1.4535762138054697e-05,1.9991472627880472e-05,1.7888862901322227e-05,1.2909189960366044e-06
27,344,1.4535762138054697e-05,1.9991472627880472e-05,1.7936848194273202e-05,1.2749317727859046e-06
28,332,1.4535762138054697e-05,1.9991472627880472e-05,1.804350859454364e-05,1.247366694377901e-06
29,341,1.4213828588186354e-05,1.9991472627880472e-05,1.8126274522351932e-05,1.2367268314409092e-06
30,330,1.4213828588186354e-05,1.9991472627880472e-05,1.8209352670101853e-05,1.2199858671608294e-06
31,336,1.4213828588186354e-05,1.9991472627880472e-05,1.8198046194309656e-05,1.2774854812088421e-06
32,346,1.4120339900326567e-05,1.9991472627880472e-05,1.8087080483916957e-05,1.2865118793258594e-06
33,323,1.4120339900326567e-05,1.9991472627880472e-05,1.8143987143700765e-05,1.233071720625531e-06
34,349,1.4213828588186354e-05,1.9991472627880472e-05,1.8195766297565873e-05,1.1501272334271716e-06
35,329,1.4213828588186354e-05,1.9991472627880472e-05,1.8230026862654824e-05,1.1167623167455556e-06
36,344,1.4696477732167778e-05,1.9991472627880472e-05,1.8315950150590625e-05,1.1029075309528143e-06
37,331,1.4696477732167778e-05,1.9991472627880472e-05,1.8294967921043498e-05,1.164832623328294e-06
38,345,1.4563689899882888e-05,1.9991472627880472e-05,1.8429396045042575e-05,1.1088990404943447e-06
39,344,1.4455248069781423e-05,1.9991472627880472e-05,1.8472808535151624e-05,1.0688315937648112e-06
40,352,1.4981705425504299e-05,1.9991472627880472e-05,1.8511556682382485e-05,9.622352174877652e-07
41,344,1.4981705425504299e-05,1.9991472627880472e-05,1.8618052006020343e-05,8.804191170443281e-07
42,333,1.5149411259242519e-05,1.9991472627880472e-05,1.863353934762308e-05,8.483304328528612e-07
43,352,1.4804788546300674e-05,1.9991472627880472e-05,1.8655607329752448e-05,8.275644361597301e-07
44,336,1.4804788546300674e-05,1.9991472627880472e-05,1.867626609194395e-05,8.202533472951275e-07
45,337,1.4616693591507157e-05,1.9991472627880472e-05,1.8631517443538174e-05,9.00432998699591e-07
46,336,1.4749248486096292e-05,1.9991472627880472e-05,1.8612606273381126e-05,9.183771658977488e-07
47,365,1.4226707430715296e-05,1.9991472627880472e-05,1.859996084182848e-05,9.667062837353114e-07
48,325,1.4226707430715296e-05,1.9991472627880472e-05,1.8599713774825082e-05,9.561155152973476e-07
49,330,1.4226707430715296e-05,1.9991472627880472e-05,1.8564269896976595e-05,1.0593633420908906e-06
50,347,1.4226707430715296e-05,1.9991472627880472e-05,1.8678033783406245e-05,8.95235140823261e-07
51,339,1.5086218055036732e-05,1.9991472627880472e-05,1.8698455425529655e-05,8.060899681551437e-07
52,339,1.5086218055036732e-05,1.9991472627880472e-05,1.8651800364288267e-05,8.917139040526429e-07
53,347,1.3972811305262186e-05,2.1184540808644712e-05,1.86333473655005e-05,9.243013095106622e-07
54,340,1.4290066590853783e-05,2.1184540808644712e-05,1.8675858229148735e-05,8.817385820029864e-07
55,352,1.5086218055036732e-05,2.1184540808644712e-05,1.8695856396585384e-05,8.569559131060923e-07
56,337,1.4890712555359148e-05,2.1184540808644712e-05,1.8697180686527735e-05,8.604344755541139e-07
57,336,1.4655169016726168e-05,2.1184540808644712e-05,1.8700742988452826e-05,8.789332815492453e-07
58,350,1.4780981631754915e-05,2.1184540808644712e-05,1.8758076207545688e-05,8.185240125937151e-07
59,325,1.6022008048293077e-05,2.1184540808644712e-05,1.8825906522672138e-05,7.128485209265219e-07
60,359,1.5219280703871303e-05,2.1184540808644712e-05,1.8899315323586923e-05,7.075888632411765e-07
61,347,1.4207014149901138e-05,2.1184540808644712e-05,1.8895135120251777e-05,7.590272253907018e-07
62,335,1.5276944247873892e-05,2.1184540808644712e-05,1.8879035556688677e-05,7.971087795158938e-07
63,346,1.5276944247873892e-05,2.1184540808644712e-05,1.8866054684318145e-05,8.069946092938519e-07
64,348,1.5276944247873892e-05,2.1184540808644712e-05,1.8889496396067502e-05,8.108921271902225e-07
65,340,1.5276944247873892e-05,2.1184540808644712e-05,1.8898654909403368e-05,7.889199994619042e-07
